company,"『来客』,客 / 『会社』(単数)『co.』,(複数)『cos.』;会社名の時は『Co.』)"
compare,"を'『比較する』,比べる;'を'(他のものと)『比べる』 / (…に)…'を'『たとえる』"
comparison,(…と…との)『比較』;(…間の)比較 / (…を…に)たえること
compete,"(…と…を)『競う』,競争する / (…に)『匹敵する』"
competition,(…との…の)『競争』 / 試合
complain,"(人に…について)『不平を言う』,泣きごとを言う,訴える"
complaint,"(…についての)『不平』,苦情,泣きごと,ぐち / (…についての)不平の種"
complete,"(比較変化なし)『全部の』,完備した / 『完全な』,全くの"
completion,"完成,成就;完了,修了"
complicate,…'を'複雑にする
compose,"…'を'『構成する』 / 'を'『作る』,書く;'を'作る;'を'作る"
composition,"(文学・美術・音楽作品などの)『創作』,制作[法];『作文』,『作曲』,作品,楽曲 / (混合物などの)『成分』"
